Country Name,Country Code,Series Name,Series Code,2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Brazil,BRA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,14559.0488897004,15463.7426393889,16069.8380152627,16101.6183063466,18075.7060049068,19873.7032623309,21193.0721417478,22370.9182253225,23433.2897595431
Brazil,BRA,"Population, total",SP.POP.TOTL,204703445,206107261,207455459,208660842,209550294,210306415,211140729,211998573,212812405
Brazil,BRA,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,7,6.9,7,2.8,7.5,4.9,3.8,3,..
Brazil,BRA,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,15.5,14.2,15.8,19.4,22.1,18.4,13.5,..,..
British Virgin Islands,VGB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..
British Virgin Islands,VGB,"Population, total",SP.POP.TOTL,32699,34657,36395,37135,37809,38319,38985,39471,39732
British Virgin Islands,VGB,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..
British Virgin Islands,VGB,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,61657.6802725444,65148.8264035521,69353.6799514849,69787.9632795717,78248.797127611,81788.7819525501,85102.6867427911,90009.8912498003,92429.9262686398
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,432772,437810,442680,447404,451721,455370,458949,462721,466330
Brunei Darussalam,BRN,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..
