Classification Name,Classification Code,Country Name,Country Code,Time,Time Code,Cost of a healthy diet in PPP dollars [CoHD_PPP],Affordability of an energy sufficient diet: ratio of cost to food expenditures [CoCA_fexp],Percent of the population who cannot afford a healthy diet [CoHD_headcount],Population [Pop],"GDP per capita, PPP (current international $) [NY.GDP.PCAP.PP.CD]",Cost share for vegetables in a least-cost healthy diet [CoHD_v_prop]
Food Prices for Nutrition 5.0,FPN 5.0,Bhutan,BTN,2020,YR2020,4.87,..,17,770006,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Bhutan,BTN,2021,YR2021,5.14,0.15,21.3,775442,..,0.19
Food Prices for Nutrition 5.0,FPN 5.0,Bhutan,BTN,2022,YR2022,5.48,..,4.7,780914,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Bhutan,BTN,2023,YR2023,5.69,..,4.3,786385,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Bhutan,BTN,2024,YR2024,5.96,..,4.1,791524,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Bhutan,BTN,2025,YR2025,6.17,..,3.7,796682,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Bolivia,BOL,2017,YR2017,3.62,..,14.4,11344587,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Bolivia,BOL,2018,YR2018,3.61,..,13,11508368,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Bolivia,BOL,2019,YR2019,3.75,..,9.7,11671386,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Bolivia,BOL,2020,YR2020,3.78,..,10.8,11816299,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Bolivia,BOL,2021,YR2021,3.96,0.37,8.9,11937360,..,0.18
Food Prices for Nutrition 5.0,FPN 5.0,Bolivia,BOL,2022,YR2022,4.3,..,9.6,12077154,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Bolivia,BOL,2023,YR2023,4.57,..,9,12244159,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Bolivia,BOL,2024,YR2024,4.82,..,9.5,12413315,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Bolivia,BOL,2025,YR2025,5.39,..,10.5,12581843,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Bonaire,BON,2017,YR2017,..,..,..,..,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Bonaire,BON,2018,YR2018,..,..,..,..,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Bonaire,BON,2019,YR2019,..,..,..,..,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Bonaire,BON,2020,YR2020,..,..,..,..,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Bonaire,BON,2021,YR2021,6.5,..,..,..,..,0.24
Food Prices for Nutrition 5.0,FPN 5.0,Bonaire,BON,2022,YR2022,..,..,..,..,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Bonaire,BON,2023,YR2023,..,..,..,..,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Bonaire,BON,2024,YR2024,..,..,..,..,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Bonaire,BON,2025,YR2025,..,..,..,..,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Bosnia and Herzegovina,BIH,2017,YR2017,4.07,..,18.3,3428682,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Bosnia and Herzegovina,BIH,2018,YR2018,4.13,..,16.9,3387000,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Bosnia and Herzegovina,BIH,2019,YR2019,4.34,..,15.9,3345533,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Bosnia and Herzegovina,BIH,2020,YR2020,4.34,..,16.1,3299349,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Bosnia and Herzegovina,BIH,2021,YR2021,4.54,0.1,14.8,3244907,..,0.26
Food Prices for Nutrition 5.0,FPN 5.0,Bosnia and Herzegovina,BIH,2022,YR2022,5.54,..,14.1,3204802,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Bosnia and Herzegovina,BIH,2023,YR2023,6.31,..,13.8,3185073,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Bosnia and Herzegovina,BIH,2024,YR2024,6.45,..,12.7,3164253,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Bosnia and Herzegovina,BIH,2025,YR2025,6.88,..,12.7,3140095,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Botswana,BWA,2017,YR2017,3.01,..,61.9,2266747,..,..
